substrate,year,dfs_m_,depth_m_
Silt,2008,70,3
Gravel,2008,80,5.2
Sand,2008,10,1.2
Sand,2008,60,3.8
Gravel,2008,60,2
Sand,2008,40,4
Silt,2008,60,3
Peat,2008,5,0.5
Silt,2008,50,0
Sand,2008,80,5.5
Gravel,2008,50,1.5
Gravel,2008,0,0.2
Silt,2008,80,3.1
Silt,2008,20,1.2
Sitt,2008,40,1.6
Sand,2008,10,1
Gravel,2008,80,3
Sand,2008,50,5
Silt,2008,40,2.2
Peat,2008,1,0.3
Sand,2008,70,4.3
Sand,2008,1,0.2
Sand,2008,70,1.6
Sand,2008,70,6.8
Silt,2008,50,3
Gravel,2008,10,1.5
Sand,2008,60,2.8
Sand,2008,0,0.5
Sand,2008,1,0.1
Sand,2008,60,5.6
Silt,2008,30,2
Sand,2008,20,1.6
Silt,2008,80,1.8
Sand,2008,70,5
Sand,2008,10,1.2
Sand,2008,80,7
Gravel,2008,30,1.6
Silt,2008,70,1.8
Silt,2008,20,1.5
Sand,2008,5,1
Sand,2008,20,2.5
Sand,2008,0,2.6
Silt,2008,60,2
Sand,2008,50,3.5
Sand,2008,1,1
Peat,2008,1,0.2
Sand,2008,40,2.5
Sand,2008,30,2.8
Gravel,2008,40,1.5
Silt,2008,30,3
Sand,2008,5,0.6
Sand,2008,30,1.5
Sand,2008,40,0
Sand,2008,20,1.5
Silt,2008,10,2.5
Silt,2010,80,3.2
Sand,2009,300,2.7
Sand,2009,50,3.2
Sand,2009,40,2.1
Sand,2009,40,2.9
Sand,2009,30,2.1
Sand,2009,40,2.9
Sand,2008,30,3.2
Sand,2009,10,1.1
ND,2009,60,0
Sand,2008,5,1
ND,2009,20,0
Sand,2008,10,1
ND,2009,70,0
Sand,2008,30,1.2
Silt,2010,70,3
Sand,2009,50,3.1
ND,2009,60,0
Sand,2009,50,2.2
ND,2009,50,0
Sand,2009,50,1.8
Sand,2009,20,2.1
Sand,2008,20,2.5
ND,2009,70,0
Gravel,2008,0,0.2
Sand,2009,50,2.5
Sitt,2008,50,9
ND,2009,60,0
Sand,2008,20,1.5
Sand,2009,60,3.4
Sand,2009,0,0.1
Sand,2009,60,2.2
ND,2009,60,0
Sand,2009,60,3.1
Sand,2009,30,3.2
Gravel,2008,5,1
Sand,2009,10,1.9
Sand,2008,60,2.3
Sand,2009,10,2
Sitt,2008,40,8
Sand,2009,0,0.2
Sand,2008,10,0.8
Muck,2009,50,0.5
Sand,2009,70,3.5
ND,2009,70,0
Sand,2009,70,2.3
ND,2009,70,0
ND,2009,0,0
ND,2009,40,0
Gravel,2008,10,1.8
Sand,2009,40,2.1
Sand,2008,70,1.8
Sand,2009,5,0.3
Sand,2008,20,1.8
Sand,2009,5,0.8
Sand,2008,5,0.5
Muck,2009,40,1
ND,2009,80,0
Sand,2009,80,2.3
ND,2009,80,0
Sand,2009,80,3.2
Sand,2009,70,3.1
ND,2009,60,0
Rock,2008,0,0.2
Sand,2009,5,0.8
Sand,2008,80,1.25
Sand,2009,60,2.5
Silt,2008,30,7
Sand,2009,10,1
ND,2009,50,0
Sand,2008,1,0.2
Muck,2009,30,1.5
Sand,2009,0,0.5
Sand,2009,40,2.5
Muck,2009,0,0.2
ND,2009,80,0
ND,2009,70,0
Sand,2008,80,3
Sand,2009,20,1
Gravel,2008,20,1
Sand,2009,0,0
Sand,2008,30,2
ND,2009,40,0
Sitt,2008,80,9
Muck,2009,20,1.2
Sand,2009,5,1.5
Sand,2009,20,1.9
Muck,2009,10,0.9
Sand,2009,20,2
Sand,2009,5,0.5
ND,2009,50,0
Sand,2008,10,0.8
Sand,2009,0,0.3
Sand,2008,50,2.1
Sand,2009,70,2.1
Sand,2008,10,2.2
Sand,2009,20,1.9
Silt,2008,70,9
Muck,2009,10,0.5
Sand,2009,10,1
Sand,2009,30,2
Muck,2009,5,0.4
Sand,2009,0,0
Sand,2009,10,2.1
Sand,2008,5,0.5
ND,2009,80,0
Sand,2008,40,1.8
Sand,2009,80,2
Sand,2008,40,2.2
ND,2009,30,0
Silt,2008,60,9
Muck,2009,5,0.5
Sand,2008,43,0.3
Sand,2009,20,1.5
Sand,2009,10,1
Sand,2009,30,2
Sand,2009,5,1
Sand,2009,20,3.2
Sand,2009,0,0.1
Gravel,2008,30,1
Gravel,2008,70,3
ND,2009,50,0
Sitt,2008,20,3
Sand,2009,30,2
Sand,2008,0,0.2
Sand,2009,0,0.1
Sand,2008,40,0.5
ND,2009,80,0
Sand,2009,30,2.2
Sand,2009,5,0.5
Sand,2009,20,1.8
Sand,2009,10,1
Sand,2009,30,3.5
Sand,2009,5,0.8
Sand,2008,60,2.96
Gravel,2008,1,0.3
Sand,2009,30,2.2
Sand,2008,50,2.5
Sand,2009,40,2.5
Sand,2008,5,0.8
ND,2009,80,0
Muck,2011,70,4.4
Silt,2010,80,5
Muck,2011,10,1.1
Muck,2011,60,3
Sand,2010,50,1.8
Sand,2010,50,3.1
Sand,2011,60,3
Sand,2011,30,1.4
Muck,2011,80,3.3
Silt,2010,80,12
Muck,2010,30,3.2
Silt,2010,60,5
Muck,2010,20,1.6
Sand,2010,5,0.8
Muck,2011,80,4.4
Silt,2010,50,2.2
Muck,2010,20,1.3
Muck,2011,80,5.5
Organic,2011,5,0.5
Sand,2010,30,1.5
Muck,2011,5,0.5
Sand,2010,0.1,0.1
Sand,2011,5,0.5
Silt,2010,70,9
Silt,2010,0,0.2
Silt,2010,70,1.5
Sand,2010,30,9
Muck,2010,5,0.5
Silt,2010,40,1.9
Muck,2011,50,2.3
Muck,2010,30,1.8
Muck,2011,70,4.7
Muck,2011,80,1.4
Silt,2010,10,1
Muck,2011,10,0.75
Sand,2010,60,4
Sand,2011,70,1.2
Gravel,2010,5,1.6
Sand,2010,10,1.8
Silt,2010,70,6
Sand,2010,10,2
Muck,2010,0.2,0.1
Silt,2010,60,3
Muck,2011,60,2.9
Muck,2010,30,1.2
Muck,2011,30,1.8
Silt,2010,70,2
Sand,2010,40,1.8
Muck,2011,0,2.2
Sand,2011,70,3.5
Sand,2010,30,2.1
Sand,2011,40,2.1
Muck,2011,50,2.5
Silt,2010,10,2.1
Gravel,2010,5,1
Sand,2010,40,3
Silt,2010,30,1.9
Sand,2010,10,0.8
Muck,2011,40,2.2
Muck,2010,20,1
Muck,2011,2,0.8
Muck,2010,10,0.8
Muck,2011,50,2.2
Silt,2010,80,5.2
Silt,2010,80,3
Muck,2011,20,3.3
Gravel,2010,1,0.1
Sand,2010,0,2
Gravel,2010,30,1.9
Silt,2010,50,2
Silt,2010,70,10
Silt,2010,80,10
Silt,2011,60,2.6
Muck,2010,10,0.8
Muck,2010,0,0.2
Muck,2011,20,0.8
Muck,2011,40,1.2
Sand,2010,20,2
Sand,2011,80,4.3
Sand,2010,5,0.8
Silt,2010,30,3
Muck,2011,30,3.6
Silt,2010,50,5
Sand,2010,80,1.5
Sand,2010,5,0.9
Muck,2010,5,0.5
Muck,2011,10,1.5
Silt,2010,80,2
Muck,2011,70,1.9
Silt,2010,70,5
Sand,2010,40,2.9
Sand,2011,50,1.6
Rock,2010,50,1.3
Muck,2011,40,3.1
Muck,2010,20,2.7
Silt,2010,80,5
Silt,2010,40,2
Sand,2010,0.1,0.1
Muck,2010,10,1
Muck,2011,20,1
Muck,2010,0.1,0.1
Muck,2010,50,2.1
Muck,2011,40,2.3
Sand,2010,0.2,0.1
Muck,2011,5,0.5
Sand,2010,10,1
Rock,2010,40,1.3
Muck,2011,60,1.6
Muck,2010,40,4.1
Gravel,2010,20,1.9
Silt,2010,60,1.6
Silt,2010,50,9.8
Sand,2010,20,1
Muck,2011,5,0.8
Silt,2010,70,4.2
Muck,2010,5,0.4
Muck,2011,5,1
Muck,2011,30,1
Sand,2010,5,0.4
Sand,2011,5,0.5
Sand,2010,70,3
Sand,2010,60,3
Gravel,2010,100,1.5
Gravel,2010,50,2.5
Gravel,2010,0.1,0.1
Silt,2010,40,9.5
Muck,2010,40,1
Muck,2011,30,1.9
Muck,2010,60,3.2
Muck,2010,40,1.9
Muck,2011,50,2.4
Sand,2010,50,1.9
Muck,2011,20,1
Sand,2010,20,1.8
Sand,2011,20,1.4
Silt,2010,20,3.1
Silt,2010,60,6
Sand,2010,5,1
Sand,2010,20,5
Silt,2010,60,9.8
Sand,2010,30,0.5
Muck,2012,5,50
Rock,2011,40,2
Silt,2012,60,2
Muck,2012,30,160
Muck,2012,60,2
Muck,2012,50,2
Gravel,2012,60,2.5
Silt,2011,70,6.2
Silt,2012,60,6
Gravel,2011,70,3
Silt,2012,60,2
Muck,2011,80,0.6
Muck,2011,30,7
Silt,2012,20,1.5
Muck,2011,80,9.5
Silt,2012,70,2.5
Silt,2012,40,2
Muck,2012,70,1.6
Silt,2012,60,5
Silt,2012,70,3
Gravel,2011,5,0.5
Silt,2012,70,6.6
Rock,2011,1,0.3
Sand,2012,40,1.5
Gravel,2011,5,1
Silt,2012,70,1.8
Muck,2011,40,2.5
Silt,2012,30,8
Muck,2011,50,0.2
Sand,2012,50,200
Silt,2012,50,2
Muck,2012,80,1.5
Silt,2012,70,5.3
Silt,2012,80,3
Gravel,2011,5,0.75
Silt,2012,80,7
Rock,2011,5,1.5
Rock,2011,50,2
Silt,2012,80,3
Silt,2012,80,1.3
Silt,2012,30,2
Muck,2011,30,2
Muck,2011,70,9.5
Silt,2012,80,2.5
Muck,2012,0.5,20
Muck,2012,60,3
Silt,2012,80,5
Sand,2012,0.5,20
Gravel,2011,10,1
Sand,2012,0.5,0.1
Gravel,2011,10,1.3
Sand,2012,0.5,20
Rock,2011,0.5,0.5
Sand,2012,30,1.8
Sand,2011,20,2.1
Silt,2012,20,4.2
Muck,2011,5,0.5
Silt,2012,70,3
Sand,2012,20,180
Sand,2012,1,0.1
Sand,2012,5,1
Sand,2012,5,1.8
Gravel,2011,20,2.5
Sand,2012,5,1
Rock,2011,30,1.7
Sand,2012,10,1.5
Muck,2011,50,2
Silt,2012,40,2
Muck,2011,5,0.5
Muck,2011,0.1,0.3
Silt,2012,80,5
Muck,2012,10,120
Muck,2012,5,40
Sand,2012,10,150
Sand,2012,10,2.5
Silt,2011,80,7.1
Gravel,2012,10,2
Gravel,2011,10,1.5
Sand,2012,10,1
Muck,2011,10,1.4
Silt,2012,10,2
Muck,2011,60,9.4
Muck,2011,5,1
Silt,2012,60,200
Silt,2012,30,2
Muck,2012,10,0.8
Silt,2012,20,2
Sand,2012,20,3
Muck,2011,30,2.8
Rock,2012,20,2
Rock,2011,20,1.5
Sand,2012,20,1.6
Sand,2011,5,0.5
Silt,2012,50,1.8
Muck,2011,10,1
Muck,2011,10,1.1
Muck,2012,0.5,0.2
Silt,2012,40,200
Muck,2012,20,1
Silt,2012,30,2
Silt,2012,30,3
Gravel,2011,40,4
Silt,2012,30,3
Silt,2011,80,4.8
Silt,2012,70,3.5
Muck,2011,60,2.5
Sand,2012,5,1
Muck,2011,50,9.3
Muck,2011,20,1.6
Muck,2012,10,80
Muck,2012,30,1.3
Silt,2012,40,2.8
Gravel,2012,40,1.5
Silt,2011,50,5.5
Silt,2012,40,4.5
Sand,2012,50,1.8
Sand,2011,5,0.5
Gravel,2012,0.5,0.2
Muck,2011,20,1.6
Muck,2011,30,1.4
Muck,2012,20,150
Muck,2012,5,100
Muck,2012,40,1.6
Silt,2012,50,4
Gravel,2012,50,1.6
Silt,2011,60,6.2
Silt,2012,50,5.5
Rock,2011,60,3
Sand,2012,0.5,0.2
Muck,2011,70,2.1
Silt,2012,60,1.8
Muck,2011,40,9
Muck,2011,40,0.8
Gravel,2013,40,3.5
Silt,2013,30,2
Muck,2013,5,0.5
Muck,2013,50,1.6
Silt,2013,70,4.9
Sand,2013,5,0.5
Sand,2013,0.1,0.1
Sand,2013,60,5.4
Rock,2013,0.1,0.1
Gravel,2013,30,2.5
Gravel,2013,0.2,0.2
Silt,2013,30,1.7
Sand,2012,0.5,0.5
Silt,2012,60,8.8
Muck,2012,10,0.8
Muck,2013,20,1.1
Silt,2013,20,1.2
Muck,2013,40,1.5
Silt,2013,80,5
Gravel,2013,10,1.1
Sand,2013,30,2.8
Silt,2013,70,5.9
Gravel,2013,5,0.8
Sand,2013,80,5
Silt,2013,60,2
Sand,2013,20,4
Silt,2012,50,8.8
Silt,2012,70,9
Sand,2012,5,0.5
Muck,2013,10,0.7
Silt,2013,80,4.8
Muck,2013,60,1.5
Sand,2013,0.5,0.1
Sand,2013,30,2
Sand,2013,40,1.7
Silt,2013,80,7.4
Gravel,2013,10,1
Sand,2013,20,1.8
Silt,2013,70,1.6
Silt,2013,40,2.1
Sand,2012,5,1
Silt,2012,80,9
Sand,2012,0.5,0.1
Silt,2013,80,3.1
Muck,2013,5,0.6
Silt,2013,30,1.6
Muck,2013,70,1.4
Muck,2013,5,0.4
Sand,2013,20,1.5
Silt,2013,50,2.5
Gravel,2013,0.1,0.1
Sand,2013,20,1.8
Gravel,2013,0.2,0.2
Gravel,2013,5,1
Sand,2013,80,1.2
Sand,2013,10,1.6
Sand,2012,10,1
Muck,2012,50,0.1
Sand,2013,70,2.9
Muck,2013,0.2,0.2
Silt,2013,70,4
Muck,2013,80,1.2
Muck,2013,10,1
Sand,2013,40,2.2
Silt,2013,60,2.6
Sand,2013,5,1
Rock,2013,30,2.6
Gravel,2013,50,3.5
Silt,2013,50,2.1
Silt,2012,40,8.8
Muck,2012,40,0.1
Silt,2013,50,2.2
Silt,2013,60,2.9
Sand,2013,50,2.2
Muck,2013,0.1,0.1
Muck,2013,20,1
Sand,2013,50,2.8
Sand,2013,70,2.8
Sand,2013,10,2
Silt,2013,40,3.8
Sand,2013,60,3.8
Gravel,2013,5,0.8
Muck,2012,30,0.8
Silt,2013,40,2
Silt,2013,40,2
Muck,2013,10,0.8
Muck,2013,30,1.3
Sand,2013,60,3.9
Silt,2013,80,2.9
Silt,2013,20,2.5
Rock,2013,50,5
Sand,2013,70,4
Gravel,2013,10,1.5
Sand,2012,20,1.1
Silt,2013,30,7.8
Sand,2013,20,1.3
Silt,2013,40,9
Silt,2013,70,9.2
Silt,2013,80,9.2
Sand,2013,5,0.8
Sand,2013,10,0.6
Sand,2013,50,0.1
Silt,2013,50,9
Sand,2013,40,0.3
Sand,2013,0.1,0.1
Sand,2013,30,0.8
Silt,2013,60,9.2
Sand,2013,10,0.7
Sand,2013,5,0.5
Silt,2013,20,0.8
Sand,2014,5,1.4
Silt,2014,50,3.7
Silt,2014,60,4
Muck,2014,60,2.9
Silt,2014,30,2.4
Silt,2014,40,0
Sand,2013,0.2,0.2
Silt,2014,80,3.5
Silt,2014,70,3.5
Silt,2014,60,3
Silt,2014,50,2.3
Silt,2014,40,2.2
Muck,2014,30,2
Muck,2014,20,2
Muck.,2014,5,1
Muck,2014,10,2
Muck,2014,0.5,0.5
Slt,2014,80,3.5
Sand,2014,20,1.5
Sand,2014,30,2
silt,2014,80,0
Silt,2014,50,2.5
Silt,2014,70,4.5
Silt,2014,40,2.1
Muck,2014,40,1.8
Muck,2014,32,1.5
Muck,2014,5,0.2
Silt,2014,80,5.7
Sand,2014,20,0.7
Muck,2014,50,1.9
Muck,2014,60,1.9
Muck,2014,70,1.9
Muck,2014,80,1.9
Muck,2014,5,2
Muck,2014,0,4
Sand,2014,10,1
Sand,2014,10,0.5
Muck,2014,5,0.2
Silt,2014,79,5.8
Silt,2014,60,5
Silt,2014,20,1.8
Sard,2014,10,1.3
Muck,2014,70,3
Sand,2014,5,1
Sand,2014,5,2
Muck,2014,80,0.2
Sand,2014,5,0.5
Muck,2014,10,2
Muck,2014,20,3.2
Muck,2014,30,3.4
Muck,2014,40,2.1
Muck,2014,50,1.3
Sand,2014,5,0.2
Sit,2014,80,4.3
Silt,2014,70,6
Silt,2014,60,5.3
Silt,2014,50,5
