Point,latitude,longitude,depth_m_,substrate,zeb_msc,year
1,41.57246,-73.4442,16,Sand,0,2022
2,41.57116,-73.44565,16,Rock,0,2022
3,41.55523,-73.4449,18,Organic,1,2022
4,41.55276,-73.43944,17,Gravel,0,2022
5,41.53969,-73.44658,17,Rock,0,2022
6,41.51404,-73.44416,17,Rock,5,2022
7,41.50518,-73.44469,17,Rock,8,2022
8,41.54308,-73.46664,17,Rock,5,2022
9,41.53542,-73.46144,18,Rock,19,2022
10,41.52137,-73.45791,18,Sand,17,2022
11,41.51674,-73.45583,15,Gravel,17,2022
12,41.50261,-73.46001,15,Rock,10,2022
13,41.49784,-73.46902,15,Silt,3,2022
14,41.47174,-73.45896,18,Sand ,23,2022
15,41.46632,-73.45615,18,Sand,13,2022
16,41.46606,-73.45069,14,Sand,46,2022
17,41.45887,-73.44439,17,Sand,21,2022
18,41.47707,-73.44941,17,Sand,13,2022
19,41.46882,-73.43109,15,Sand,16,2022
20,41.46031,-73.43569,20,Sand,3,2022
21,41.44013,-73.45793,19,Rock,11,2022
22,41.56737,-73.4451,19,Sand,1,2022
23,41.55076,-73.44556,15,Rock,1,2022
24,41.53001,-73.44304,14,Silt,4,2022
25,41.52604,-73.43793,17,Rock,15,2022
26,41.49751,-73.44812,20,Rock,9,2022
27,41.51113,-73.47235,18,Silt,0,2022
28,41.48324,-73.45813,19,Sand,77,2022
29,41.48675,-73.43433,12,Sand,22,2022
30,41.45176,-73.45232,20,Rock,10,2022
31,41.44879,-73.43049,12,Sand,0,2022